Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,98.580002,100.250000,98.120003,98.430000,98.430000,6346650
2019-08-02,98.510002,99.410004,97.930000,98.779999,98.779999,4350500
2019-08-05,97.099998,97.360001,95.930000,96.470001,96.470001,9810050
2019-08-06,97.300003,98.449997,97.300003,98.440002,98.440002,4316730
2019-08-07,97.150002,99.050003,96.709999,99.050003,99.050003,5353270
2019-08-08,99.550003,100.500000,99.320000,100.360001,100.360001,8405500
2019-08-09,100.000000,101.050003,99.709999,100.239998,100.239998,3063290
2019-08-12,99.000000,99.000000,97.849998,98.160004,98.160004,6750230
2019-08-13,98.129997,100.000000,97.650002,99.519997,99.519997,5021090
2019-08-14,98.489998,98.489998,96.300003,96.650002,96.650002,9200210
2019-08-15,97.220001,97.239998,94.510002,95.379997,95.379997,9932420
2019-08-16,96.720001,96.980003,95.410004,96.150002,96.150002,6125370
2019-08-19,96.720001,97.260002,95.230003,95.769997,95.769997,4908840
2019-08-20,95.830002,96.040001,94.239998,95.540001,95.540001,5675540
2019-08-21,96.370003,97.639999,95.800003,97.529999,97.529999,4271060
2019-08-22,97.550003,97.849998,96.349998,96.349998,96.349998,4478200
2019-08-23,95.599998,96.379997,93.419998,94.019997,94.019997,10614120
2019-08-26,94.550003,95.000000,92.419998,92.650002,92.650002,4165080
2019-08-27,93.190002,94.349998,92.260002,93.650002,93.650002,5934710
2019-08-28,93.040001,94.760002,92.949997,94.580002,94.580002,3075390
2019-08-29,95.029999,97.000000,94.879997,96.860001,96.860001,5921790
2019-08-30,97.529999,97.830002,97.000000,97.610001,97.610001,4619310
2019-09-02,97.519997,97.900002,96.760002,96.760002,96.760002,2844060
2019-09-03,96.690002,97.739998,95.669998,95.900002,95.900002,5865740
2019-09-04,97.300003,97.370003,96.660004,97.370003,97.370003,2863010
2019-09-05,98.019997,99.419998,98.019997,98.440002,98.440002,4245770
2019-09-06,99.059998,99.349998,98.629997,99.129997,99.129997,3412310
2019-09-09,99.500000,100.400002,98.989998,99.330002,99.330002,3298700
2019-09-10,99.370003,99.779999,98.430000,99.190002,99.190002,3154680
2019-09-11,99.800003,100.300003,99.360001,99.750000,99.750000,3095480
2019-09-12,100.300003,100.790001,99.800003,100.360001,100.360001,3261040
2019-09-13,100.790001,100.809998,99.360001,99.580002,99.580002,5235630
2019-09-16,99.879997,100.169998,98.919998,99.800003,99.800003,4731520
2019-09-17,99.480003,100.760002,99.129997,100.760002,100.760002,2764480
2019-09-18,100.550003,100.839996,99.769997,100.629997,100.629997,3784050
2019-09-19,101.449997,102.120003,100.360001,100.440002,100.440002,3289800
2019-09-20,100.650002,101.160004,100.000000,100.760002,100.760002,4142160
2019-09-23,100.480003,100.820000,100.180000,100.779999,100.779999,2435110
2019-09-24,100.910004,100.989998,99.629997,100.000000,100.000000,6302320
2019-09-25,99.800003,100.550003,99.209999,100.449997,100.449997,3248450
2019-09-26,100.930000,101.449997,100.480003,101.430000,101.430000,2976760
2019-09-27,101.400002,101.739998,100.620003,101.239998,101.239998,4069100
2019-09-30,101.250000,101.339996,100.779999,101.010002,101.010002,3637500
2019-10-01,101.000000,101.300003,100.000000,100.059998,100.059998,5845310
2019-10-02,99.160004,99.239998,97.150002,97.150002,97.150002,8510310
2019-10-03,97.599998,97.809998,96.099998,97.720001,97.720001,4835000
2019-10-04,97.800003,98.800003,97.269997,98.690002,98.690002,2559040
2019-10-07,98.550003,98.669998,96.800003,96.800003,96.800003,3226020
2019-10-08,96.989998,97.599998,96.110001,96.150002,96.150002,5096280
2019-10-09,97.160004,97.830002,96.470001,97.500000,97.500000,3607750
2019-10-10,97.800003,98.699997,97.419998,98.080002,98.080002,1864620
2019-10-11,98.860001,100.599998,98.860001,99.970001,99.970001,5559780
2019-10-14,99.650002,100.449997,99.570000,100.349998,100.349998,2798360
2019-10-15,100.339996,101.209999,100.169998,100.580002,100.580002,4433830
2019-10-16,100.550003,101.480003,99.669998,101.400002,101.400002,4424830
2019-10-17,101.320000,102.000000,100.889999,101.050003,101.050003,5182150
2019-10-18,101.059998,101.610001,100.650002,100.750000,100.750000,5200300
