Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,37.678299,38.686501,37.174198,37.609100,37.609100,5080867
2019-08-02,37.549801,38.202202,36.867802,37.905701,37.905701,2559251
2019-08-05,37.016102,37.352200,35.741001,36.067200,36.067200,2897369
2019-08-06,36.156200,36.966702,35.770699,36.680000,36.680000,2264840
2019-08-07,36.126499,36.344002,34.792198,34.940399,34.940399,5561941
2019-08-08,35.058998,37.431198,35.058998,36.976601,36.976601,5228174
2019-08-09,41.019199,43.539600,39.941799,43.539600,43.539600,10266752
2019-08-12,42.412800,43.371601,41.533100,42.650101,42.650101,3661219
2019-08-13,42.669800,44.320499,42.669800,43.816399,43.816399,3289917
2019-08-14,42.995998,45.951401,42.155800,43.687901,43.687901,5891358
2019-08-15,43.687901,45.318802,41.118000,41.572701,41.572701,3435099
2019-08-16,42.175598,42.719200,40.179001,41.958199,41.958199,2808135
2019-08-19,42.719200,42.907001,41.414501,41.760502,41.760502,1748356
2019-08-20,41.513401,45.170502,40.722599,43.045399,43.045399,7131830
2019-08-21,43.490200,45.131001,43.114601,43.490200,43.490200,3450174
2019-08-22,43.915199,43.915199,41.711102,42.561100,42.561100,2387158
2019-08-23,42.020000,43.400002,40.509998,41.880001,41.880001,2544900
2019-08-26,42.299999,42.810001,40.740002,41.060001,41.060001,1564300
2019-08-27,42.000000,42.169998,39.619999,41.330002,41.330002,5105200
2019-08-28,41.000000,44.410000,40.860001,44.410000,44.410000,3609200
2019-08-29,45.000000,47.250000,44.439999,45.759998,45.759998,5342200
2019-08-30,46.029999,47.759998,46.029999,47.000000,47.000000,3408800
2019-09-02,47.400002,47.470001,46.470001,46.799999,46.799999,1500300
2019-09-03,46.770000,47.180000,45.900002,45.900002,45.900002,1796000
2019-09-04,46.500000,47.099998,46.080002,47.070000,47.070000,1324200
2019-09-05,47.000000,47.450001,46.410000,46.599998,46.599998,1595800
2019-09-06,46.480000,46.799999,45.320000,46.099998,46.099998,1369800
2019-09-09,46.200001,46.500000,43.080002,43.500000,43.500000,4191200
2019-09-10,41.320000,42.080002,40.220001,41.400002,41.400002,8032600
2019-09-11,42.490002,43.009998,42.000000,42.750000,42.750000,3585200
2019-09-12,43.369999,43.500000,42.189999,43.119999,43.119999,2267100
2019-09-13,43.020000,43.369999,41.529999,41.750000,41.750000,2989800
2019-09-16,41.480000,43.099998,40.700001,42.779999,42.779999,2687800
2019-09-17,42.500000,43.410000,42.180000,43.410000,43.410000,1866100
2019-09-18,43.430000,44.990002,43.160000,44.900002,44.900002,3525600
2019-09-19,45.450001,47.669998,45.240002,47.480000,47.480000,4543700
2019-09-20,47.400002,47.840000,46.330002,47.520000,47.520000,3452000
2019-09-23,46.900002,47.740002,46.430000,47.290001,47.290001,1632700
2019-09-24,47.540001,49.439999,46.639999,49.349998,49.349998,2839000
2019-09-25,48.799999,48.799999,46.709999,47.500000,47.500000,3062600
2019-09-26,47.500000,48.400002,47.349998,47.779999,47.779999,1706200
2019-09-27,47.680000,48.830002,47.200001,48.830002,48.830002,1540300
2019-09-30,48.820000,49.060001,47.560001,48.349998,48.349998,2241300
2019-10-01,48.009998,49.310001,47.270000,48.610001,48.610001,3277800
2019-10-02,48.029999,48.549999,47.299999,48.110001,48.110001,2275900
2019-10-03,48.099998,48.450001,46.849998,48.099998,48.099998,1825100
2019-10-04,47.830002,49.020000,47.340000,49.000000,49.000000,1822000
2019-10-07,48.869999,50.000000,48.320000,48.869999,48.869999,1900400
2019-10-08,48.849998,49.480000,47.259998,47.669998,47.669998,2303100
2019-10-09,48.410000,49.619999,48.189999,49.490002,49.490002,2402300
2019-10-10,49.130001,49.799999,48.720001,49.099998,49.099998,2092600
2019-10-11,49.660000,53.000000,49.660000,53.000000,53.000000,5351200
2019-10-14,52.630001,54.599998,52.099998,54.000000,54.000000,2675200
2019-10-15,53.500000,55.040001,53.189999,54.799999,54.799999,3153200
2019-10-16,54.750000,56.130001,53.610001,56.130001,56.130001,4996000
2019-10-17,56.000000,56.540001,54.700001,54.849998,54.849998,2398300
2019-10-18,54.849998,55.099998,54.060001,54.500000,54.500000,1580900
2019-10-21,55.040001,55.160000,53.540001,54.500000,54.500000,2531600
2019-10-22,54.500000,55.689999,54.060001,54.680000,54.680000,2576900
2019-10-23,54.410000,54.849998,53.549999,54.369999,54.369999,1615200
